filename,true_label,pred_label,distance,correct
cat_01.jpg,cat,cat,close,True
cat_02.jpg,cat,cat,close,True
cat_03.jpg,cat,cat,close,True
cat_04.jpg,cat,cat,medium,True
cat_05.jpg,cat,dog,far,False
cat_06.jpg,cat,cat,medium,True
cat_07.jpg,cat,cat,medium,True
cat_08.jpg,cat,cat,far,True
cat_09.jpg,cat,cat,close,True
cat_10.jpg,cat,cat,medium,True
dog_01.jpg,dog,dog,close,True
dog_02.jpg,dog,dog,close,True
dog_03.jpg,dog,dog,close,True
dog_04.jpg,dog,dog,medium,True
dog_05.jpg,dog,dog,medium,True
dog_06.jpg,dog,dog,far,True
dog_07.jpg,dog,dog,far,True
dog_08.jpg,dog,dog,medium,True
dog_09.jpg,dog,dog,close,True
dog_10.jpg,dog,dog,far,True
bird_01.jpg,bird,bird,close,True
bird_02.jpg,bird,bird,close,True
bird_03.jpg,bird,bird,close,True
bird_04.jpg,bird,bird,medium,True
bird_05.jpg,bird,bird,close,True
bird_06.jpg,bird,bird,far,True
bird_07.jpg,bird,bird,far,True
bird_08.jpg,bird,bird,medium,True
bird_09.jpg,bird,bird,medium,True
bird_10.jpg,bird,bird,medium,True
horse_01.jpg,horse,horse,close,True
horse_02.jpg,horse,cat,close,False
horse_03.jpg,horse,horse,close,True
horse_04.jpg,horse,horse,medium,True
horse_05.jpg,horse,horse,far,True
horse_06.jpg,horse,horse,far,True
horse_07.jpg,horse,horse,far,True
horse_08.jpg,horse,horse,medium,True
horse_09.jpg,horse,horse,medium,True
horse_10.jpg,horse,horse,medium,True
fish_01.jpg,fish,fish,close,True
fish_02.jpg,fish,fish,close,True
fish_03.jpg,fish,fish,close,True
fish_04.jpg,fish,fish,medium,True
fish_05.jpg,fish,fish,medium,True
fish_06.jpg,fish,fish,far,True
fish_07.jpg,fish,fish,far,True
fish_08.jpg,fish,fish,close,True
fish_09.jpg,fish,fish,medium,True
fish_10.jpg,fish,fish,far,True
